1	2	5	0.9701
1	3	6	1.7408
1	8	1	1.641
2	3	6	1.377
2	6	4	1.6701
2	5	1	1.364
3	4	2	1.4034
4	5	4	1.4761
4	131	6	0.9345
5	7	6	1.5938
6	8	1	1.1512
6	9	6	1.1262
6	7	6	1.2495
7	12	3	2.1092
7	128	5	0.3534
8	11	1	2.3319
9	10	3	1.284
10	11	6	0.4904
10	14	5	0.9691
10	12	6	1.8081
11	13	4	0.7981
12	16	1	0.925
13	17	6	0.8773
13	14	6	0.5081
14	15	5	0.4861
14	18	5	0.7283
15	19	5	0.6617
15	16	3	1.5748
16	21	4	0.6672
16	107	2	0.6289
17	18	5	0.3906
17	22	1	1.1061
18	19	2	0.7869
18	23	1	1.178
19	24	1	1.1391
19	20	5	0.7557
20	21	5	0.8632
21	26	2	0.81
21	106	6	0.7722
22	27	1	0.7338
23	24	3	0.3888
23	28	3	0.7123
24	29	5	0.7056
24	25	5	1.1859
25	26	2	0.5154
25	30	3	0.8477
26	91	3	0.9844
26	31	4	0.9158
27	36	5	1.7443
27	28	5	1.0632
28	35	2	1.2484
28	29	5	0.4361
29	34	4	0.9282
29	30	1	1.1371
30	31	1	0.554
30	33	3	0.9928
31	32	6	1.0448
31	90	3	0.7735
32	33	4	0.6568
32	77	2	0.569
33	39	5	1.2216
33	34	2	1.0795
34	35	4	0.5325
35	36	5	0.7418
35	38	6	1.393
36	37	6	1.1873
37	38	4	0.4433
37	44	1	0.5224
38	43	1	0.5708
38	39	2	1.3066
39	42	6	0.6813
40	77	2	0.8399
40	76	5	0.7109
40	41	2	1.0186
41	47	6	1.3371
41	65	3	0.726
41	42	2	1.238
42	46	2	1.3459
42	43	4	1.1061
43	45	3	1.133
43	44	3	0.3645
44	48	5	1.4182
45	49	4	0.5627
45	46	4	0.5991
46	50	6	0.5786
46	47	2	1.1228
47	51	5	0.5017
47	54	5	0.7366
48	49	3	0.4184
49	50	4	0.6298
50	51	1	1.0911
51	52	1	0.7682
52	53	4	0.8751
52	54	5	0.5671
53	57	6	0.863
53	56	1	1.1912
54	55	4	0.6549
55	65	3	0.6316
55	56	1	0.8577
56	66	3	0.649
56	64	1	0.8495
57	58	5	0.5249
57	64	2	1.088
58	63	4	0.9733
58	59	1	0.46
59	60	4	0.5536
60	61	2	1.0585
60	62	4	0.9078
61	62	5	0.6265
61	70	5	0.6176
62	69	3	0.6201
62	63	1	0.9521
63	64	2	0.511
63	68	6	0.6288
64	67	1	0.6462
65	66	5	0.8782
65	76	4	1.0265
66	75	6	1.0015
66	67	1	0.8379
67	74	3	1.0155
67	68	1	0.5419
68	73	6	1.0457
68	69	1	0.9168
69	70	5	0.6149
69	72	5	1.0252
70	71	6	1.037
71	72	1	0.6112
71	83	3	0.7052
72	82	2	0.6652
72	73	4	0.8464
73	81	5	0.7138
73	74	6	0.5465
74	80	6	0.7377
74	75	4	0.8956
75	76	1	0.8344
75	79	1	0.7472
76	78	2	0.8157
77	90	6	0.9626
77	78	2	0.7568
78	89	5	0.9271
78	79	2	0.8574
79	88	6	1.0341
79	80	3	0.8112
80	81	2	0.5759
80	87	2	0.9768
81	82	4	0.7884
81	86	3	0.9393
82	85	3	0.99
82	83	5	0.7784
83	84	4	1.0557
84	85	6	1.4111
84	97	4	0.9824
85	86	1	0.5576
85	96	2	1.028
86	87	4	0.5392
87	95	6	1.0298
87	88	6	0.8958
88	94	1	0.9843
88	89	6	0.837
89	90	6	0.7309
89	92	3	1.1078
90	91	5	1.0461
91	92	1	0.6459
91	106	3	0.7688
92	93	6	0.1982
92	104	5	0.7578
93	94	6	0.7266
93	103	4	0.8923
94	95	1	0.88
95	101	6	0.7133
95	96	6	0.9573
96	97	5	1.5912
96	99	5	0.6978
97	98	5	0.9836
98	99	1	1.6612
98	114	3	0.5952
99	100	6	0.4881
99	113	3	0.9981
100	101	4	0.4626
100	112	2	0.998
101	111	5	0.9979
101	102	2	0.7424
102	103	4	0.4836
103	104	5	0.6378
103	110	6	1.0713
104	105	6	0.5482
104	109	4	1.0873
105	108	1	1.0122
105	106	1	0.4098
106	107	2	0.9201
107	108	6	0.5225
107	127	2	1.097
108	126	5	0.9372
108	109	2	0.6968
109	119	6	1.2056
109	125	3	2.1796
110	119	2	0.5381
110	111	2	0.79
111	112	4	0.4627
111	118	3	0.7906
112	113	3	0.4881
112	117	5	0.9545
113	116	4	0.9971
113	114	4	1.5847
114	115	6	1.127
115	116	2	1.5107
115	140	5	1.6896
116	117	5	0.5012
116	121	3	1.0119
117	118	4	0.83
118	119	1	0.5361
118	120	1	0.5558
119	120	4	0.6631
120	121	5	1.1539
120	124	1	0.9157
121	122	3	0.4674
121	123	2	0.4283
122	123	4	0.517
122	141	5	1.0984
123	124	6	0.8198
123	137	6	1.5019
124	125	4	1.1962
124	137	1	1.5012
125	129	1	0.8148
125	132	2	1.4417
126	127	6	0.438
126	129	2	1.5289
128	129	5	0.6872
129	130	2	1.534
130	132	6	0.7981
130	131	3	1.7834
131	134	2	1.0992
132	133	2	1.0625
133	134	4	1.4695
134	135	3	0.6157
135	136	3	1.8699
135	139	5	2.2386
136	137	4	1.1143
138	140	6	1.3505
138	141	4	1.1835
138	139	1	3.3966
