0,0.2776,0.2915;
0,0.0364,0.0543;
0,0.2581,0.2698;
0,0.0547,0.0801;
0,0.4200,0.4407;
0,0.1206,0.1361;
0,0.0953,0.1100;
0,0.1351,0.1528;
0,0.1878,0.1988;
0,0.1585,0.1722;
0,0.1922,0.2194;
0,0.1496,0.1692;
0,0.2848,0.3077;
0,0.1825,0.1969;
0,0.3595,0.3712;
0,0.0620,0.0757;
0,0.1360,0.1619;
0,0.0323,0.0591;
0,0.3447,0.3747;
0,0.1478,0.1645;
0,0.2182,0.2419;
0,0.0815,0.0929;
0,0.0646,0.0799;
0,0.0800,0.0948;
0,0.2266,0.2516;
0,0.1901,0.2141;
0,0.0851,0.1064;
0,0.2475,0.2726;
0,0.0213,0.0376;
0,0.0509,0.0692;


20863,20863,0;
26999,26999,0;
17590,17590,0;
38044,38044,0;
31090,31090,0;
23318,23318,0;
22090,22090,0;
26590,26590,0;
16363,16363,0;
20454,20454,0;
40908,40908,0;
29454,29454,0;
34363,34363,0;
21681,21681,0;
17590,17590,0;
20454,20454,0;
38863,38863,0;
40090,40090,0;
44999,44999,0;
24954,24954,0;
35590,35590,0;
17181,17181,0;
22908,22908,0;
22090,22090,0;
37635,37635,0;
35999,35999,0;
31908,31908,0;
37635,37635,0;
24545,24545,0;
27408,27408,0;
