111.675804	40.858645	510	24
111.682991	40.829283	660	92
111.645046	40.807662	430	124
111.616444	40.851497	930	8
111.720216	40.85679	760	42
111.655395	40.810174	570	120
111.668761	40.842274	540	21
111.686296	40.803758	650	99
111.734158	40.841073	400	55
111.705987	40.807881	500	85
111.655035	40.854799	1000	15
111.745081	40.851006	720	51
111.679972	40.872394	840	27
111.687302	40.849369	530	30
111.712311	40.855481	430	39
111.671205	40.808536	500	111
111.598622	40.810283	950	131
111.604371	40.836106	980	2
111.634267	40.779697	1100	138
111.701675	40.817163	610	87
111.700094	40.792398	870	97
111.734446	40.820439	420	68
111.690177	40.814024	560	95
111.750399	40.836816	540	53
111.740051	40.865957	920	49
111.650077	40.796303	880	122
111.725391	40.810174	780	72
111.611701	40.806788	920	133
111.674367	40.827345	600	104
111.737176	40.812467	670	69
