1	2	5
1	3	6
1	8	1
2	3	6
2	6	4
2	5	1
3	4	2
4	5	4
4	131	6
5	7	6
6	8	1
6	9	6
6	7	6
7	12	3
7	128	5
8	11	1
9	10	3
10	11	6
10	14	5
10	12	6
11	13	4
12	16	1
13	17	6
13	14	6
14	15	5
14	18	5
15	19	5
15	16	3
16	21	4
16	107	2
17	18	5
17	22	1
18	19	2
18	23	1
19	24	1
19	20	5
20	21	5
21	26	2
21	106	6
22	27	1
23	24	3
23	28	3
24	29	5
24	25	5
25	26	2
25	30	3
26	91	3
26	31	4
27	36	5
27	28	5
28	35	2
28	29	5
29	34	4
29	30	1
30	31	1
30	33	3
31	32	6
31	90	3
32	33	4
32	77	2
33	39	5
33	34	2
34	35	4
35	36	5
35	38	6
36	37	6
37	38	4
37	44	1
38	43	1
38	39	2
39	42	6
40	77	2
40	76	5
40	41	2
41	47	6
41	65	3
41	42	2
42	46	2
42	43	4
43	45	3
43	44	3
44	48	5
45	49	4
45	46	4
46	50	6
46	47	2
47	51	5
47	54	5
48	49	3
49	50	4
50	51	1
51	52	1
52	53	4
52	54	5
53	57	6
53	56	1
54	55	4
55	65	3
55	56	1
56	66	3
56	64	1
57	58	5
57	64	2
58	63	4
58	59	1
59	60	4
60	61	2
60	62	4
61	62	5
61	70	5
62	69	3
62	63	1
63	64	2
63	68	6
64	67	1
65	66	5
65	76	4
66	75	6
66	67	1
67	74	3
67	68	1
68	73	6
68	69	1
69	70	5
69	72	5
70	71	6
71	72	1
71	83	3
72	82	2
72	73	4
73	81	5
73	74	6
74	80	6
74	75	4
75	76	1
75	79	1
76	78	2
77	90	6
77	78	2
78	89	5
78	79	2
79	88	6
79	80	3
80	81	2
80	87	2
81	82	4
81	86	3
82	85	3
82	83	5
83	84	4
84	85	6
84	97	4
85	86	1
85	96	2
86	87	4
87	95	6
87	88	6
88	94	1
88	89	6
89	90	6
89	92	3
90	91	5
91	92	1
91	106	3
92	93	6
92	104	5
93	94	6
93	103	4
94	95	1
95	101	6
95	96	6
96	97	5
96	99	5
97	98	5
98	99	1
98	114	3
99	100	6
99	113	3
100	101	4
100	112	2
101	111	5
101	102	2
102	103	4
103	104	5
103	110	6
104	105	6
104	109	4
105	108	1
105	106	1
106	107	2
107	108	6
107	127	2
108	126	5
108	109	2
109	119	6
109	125	3
110	119	2
110	111	2
111	112	4
111	118	3
112	113	3
112	117	5
113	116	4
113	114	4
114	115	6
115	116	2
115	140	5
116	117	5
116	121	3
117	118	4
118	119	1
118	120	1
119	120	4
120	121	5
120	124	1
121	122	3
121	123	2
122	123	4
122	141	5
123	124	6
123	137	6
124	125	4
124	137	1
125	129	1
125	132	2
126	127	6
126	129	2
128	129	5
129	130	2
130	132	6
130	131	3
131	134	2
132	133	2
133	134	4
134	135	3
135	136	3
135	139	5
136	137	4
138	140	6
138	141	4
138	139	1
